ID;Nom instance;Nb Classes;Nb noeud agrege / Niveau ; Nb niveau; Nb d'ite K-means Classique; Score Classique;Temps moyen Classique; Level de depart;Nb d'ite K-means Total; Score Tot;Nb d'iteration moy;temps moyen par niveau;Rapport Scores (%);Rapport iterations total(%); rapport iterations moyen(%);Rapport temps(%)
8;segmentation;32;105;15;18;3410102.448;3.82322;14;166;3448881.003;11.0667;1.08206;1.137;822.2;-38.52;324.5
8;segmentation;32;105;15;18;3410102.448;3.82322;13;100;3529480.066;7.14286;0.783902;3.501;455.6;-60.32;187.1
8;segmentation;32;105;15;18;3410102.448;3.82322;12;138;4500123.153;10.6154;1.07383;31.96;666.7;-41.03;265.1
8;segmentation;32;105;15;18;3410102.448;3.82322;11;121;3500846.797;10.0833;1.11815;2.661;572.2;-43.98;251
8;segmentation;32;105;15;18;3410102.448;3.82322;10;106;3441029.73;9.63636;1.12779;0.9069;488.9;-46.46;224.5
8;segmentation;32;105;15;18;3410102.448;3.82322;9;80;3521620.658;8;1.04886;3.27;344.4;-55.56;174.3
8;segmentation;32;105;15;18;3410102.448;3.82322;8;61;3499083.608;6.77778;0.952832;2.609;238.9;-62.35;124.3
8;segmentation;32;105;15;18;3410102.448;3.82322;7;78;3404992.409;9.75;1.2932;-0.1498;333.3;-45.83;170.6
8;segmentation;32;105;15;18;3410102.448;3.82322;6;77;3435578.691;11;1.61666;0.7471;327.8;-38.89;196
8;segmentation;32;105;15;18;3410102.448;3.82322;5;49;3431379.338;8.16667;1.34458;0.6239;172.2;-54.63;111
8;segmentation;32;105;15;18;3410102.448;3.82322;4;35;3542163.893;7;1.16987;3.873;94.44;-61.11;53
8;segmentation;32;105;15;18;3410102.448;3.82322;3;27;3593621.509;6.75;1.20982;5.382;50;-62.5;26.58
8;segmentation;32;105;15;18;3410102.448;3.82322;2;37;3509587.271;12.3333;2.10379;2.917;105.6;-31.48;65.08
8;segmentation;32;105;15;18;3410102.448;3.82322;1;47;3384212.287;23.5;4.05673;-0.7592;161.1;30.56;112.2
8;segmentation;32;105;15;18;3410102.448;3.82322;0;18;3410102.448;18;3.82322;0;0;0;0
;;;;;;;;;;;;;;;;
8;segmentation;63;105;9;24;2098193.361;7.09941;8;69;2187865.439;7.66667;1.2114;4.274;187.5;-68.06;53.57
8;segmentation;63;105;9;24;2098193.361;7.09941;7;91;2104218.564;11.375;1.93211;0.2872;279.2;-52.6;117.7
8;segmentation;63;105;9;24;2098193.361;7.09941;6;77;2221910.311;11;1.88239;5.896;220.8;-54.17;85.6
8;segmentation;63;105;9;24;2098193.361;7.09941;5;76;2114229.762;12.6667;2.39697;0.7643;216.7;-47.22;102.6
8;segmentation;63;105;9;24;2098193.361;7.09941;4;101;2062935.734;20.2;3.12218;-1.68;320.8;-15.83;119.9
8;segmentation;63;105;9;24;2098193.361;7.09941;3;47;2086004.167;11.75;2.65465;-0.5809;95.83;-51.04;49.57
8;segmentation;63;105;9;24;2098193.361;7.09941;2;42;2128901.144;14;3.07484;1.464;75;-41.67;29.93
8;segmentation;63;105;9;24;2098193.361;7.09941;1;30;2075890.716;15;3.91122;-1.063;25;-37.5;10.18
8;segmentation;63;105;9;24;2098193.361;7.09941;0;24;2098193.361;24;7.09941;0;0;0;0
;;;;;;;;;;;;;;;;
8;segmentation;95;105;3;18;1637693.797;6.35036;2;36;1490017.274;12;3.06351;-9.017;100;-33.33;44.72
8;segmentation;95;105;3;18;1637693.797;6.35036;1;32;1582173.797;16;4.32325;-3.39;77.78;-11.11;36.16
8;segmentation;95;105;3;18;1637693.797;6.35036;0;18;1637693.797;18;6.35036;0;0;0;0
;;;;;;;;;;;;;;;;
8;segmentation;126;105;1;21;1199768.496;7.86345;0;21;1199768.496;21;7.86345;0;0;0;0
